data_pull_date,meet_name,meet_date,competitor_1_name,competitor_1_odds,competitor_2_name,competitor_2_odds
2023-06-09,UFC 289,2023-06-10,Diana Belbita,5/6,Maria Oliveira,20/21
2023-06-09,UFC 289,2023-06-10,David Dvorak,4/11,Stephen Erceg,21/10
2023-06-09,UFC 289,2023-06-10,Blake Bilder,4/11,Kyle Nelson,21/10
2023-06-09,UFC 289,2023-06-10,Aiemann Zahabi,20/21,Aori Qileng,5/6
2023-06-09,UFC 289,2023-06-10,Miranda Maverick,1/3,Jasmine Jasudavicius,9/4
2023-06-09,UFC 289,2023-06-10,Nassourdine Imavov,8/13,Chris Curtis,5/4
2023-06-09,UFC 289,2023-06-10,Marc-Andre Barriault,8/11,Eryk Anders,11/10
2023-06-09,UFC 289,2023-06-10,Dan Ige,4/11,Nate Landwehr,21/10
2023-06-09,UFC 289,2023-06-10,Mike Malott,4/9,Adam Fugitt,7/4
2023-06-09,UFC 289,2023-06-10,Charles Oliveira,6/5,Beneil Dariush,4/6
2023-06-09,UFC 289,2023-06-10,Amanda Nunes,2/7,Irene Aldana,13/5
2023-06-09,UFC 290,2023-07-08,Bo Nickal,1/9,Tresean Gore,11/2
2023-06-09,UFC 290,2023-07-08,Jalin Turner,8/15,Dan Hooker,6/4
2023-06-09,UFC 290,2023-07-08,Robert Whittaker,2/7,Dricus Du Plessis,13/5
2023-06-09,UFC 290,2023-07-08,Brandon Moreno,8/15,Alexandre Pantoja,6/4
2023-06-09,UFC 290,2023-07-08,Alexander Volkanovski,1/5,Yair Rodriguez,7/2
2023-06-09,UFC on ESPN 47,2023-06-17,Cristian Quinonez,8/15,Kyung Ho Kang,6/4
2023-06-09,UFC on ESPN 47,2023-06-17,Alessandro Costa,4/9,Jimmy Flick,7/4
2023-06-09,UFC on ESPN 47,2023-06-17,Raoni Barcelos,4/9,Miles Johns,7/4
2023-06-09,UFC on ESPN 47,2023-06-17,Muslim Salikhov,1/2,Nicolas Dalby,13/8
2023-06-09,UFC on ESPN 47,2023-06-17,Manuel Torres,8/13,Nikolas Motta,13/10
2023-06-09,UFC on ESPN 47,2023-06-17,Pat Sabatini,8/15,Lucas Almeida,6/4
2023-06-09,UFC on ESPN 47,2023-06-17,Christian Leroy Duncan,8/13,Armen Petrosyan,13/10
2023-06-09,UFC on ESPN 47,2023-06-17,Arman Tsarukyan,1/10,Joaquim Silva,6/1
2023-06-09,UFC on ESPN 47,2023-06-17,Marvin Vettori,4/6,Jared Cannonier,6/5
2023-06-09,UFC on ABC 5,2023-06-24,Ilia Topuria,3/10,Josh Emmett,5/2
2023-06-09,UFC 291,2023-07-29,Stephen Thompson,4/9,Michel Pereira,7/4
2023-06-09,UFC 291,2023-07-29,Ikram Aliskerov,4/5,Paulo Costa,1/1
2023-06-09,UFC 291,2023-07-29,Bobby Green,1/5,Tony Ferguson,7/2
2023-06-09,UFC 291,2023-07-29,Jan Blachowicz,4/6,Alex Pereira,6/5
2023-06-09,UFC 291,2023-07-29,Dustin Poirier,4/5,Justin Gaethje,1/1
2023-06-10,UFC 289,2023-06-10,Diana Belbita,4/5,Maria Oliveira,1/1
2023-06-10,UFC 289,2023-06-10,David Dvorak,4/11,Stephen Erceg,21/10
2023-06-10,UFC 289,2023-06-10,Blake Bilder,4/11,Kyle Nelson,21/10
2023-06-10,UFC 289,2023-06-10,Aiemann Zahabi,1/1,Aori Qileng,4/5
2023-06-10,UFC 289,2023-06-10,Miranda Maverick,1/3,Jasmine Jasudavicius,9/4
2023-06-10,UFC 289,2023-06-10,Nassourdine Imavov,8/13,Chris Curtis,13/10
2023-06-10,UFC 289,2023-06-10,Marc-Andre Barriault,8/11,Eryk Anders,11/10
2023-06-10,UFC 289,2023-06-10,Dan Ige,4/11,Nate Landwehr,21/10
2023-06-10,UFC 289,2023-06-10,Mike Malott,4/9,Adam Fugitt,7/4
2023-06-10,UFC 289,2023-06-10,Charles Oliveira,6/5,Beneil Dariush,4/6
2023-06-10,UFC 289,2023-06-10,Amanda Nunes,2/7,Irene Aldana,13/5
2023-06-10,UFC 290,2023-07-08,Bo Nickal,1/9,Tresean Gore,11/2
2023-06-10,UFC 290,2023-07-08,Jalin Turner,8/15,Dan Hooker,6/4
2023-06-10,UFC 290,2023-07-08,Robert Whittaker,2/7,Dricus Du Plessis,13/5
2023-06-10,UFC 290,2023-07-08,Brandon Moreno,8/15,Alexandre Pantoja,6/4
2023-06-10,UFC 290,2023-07-08,Alexander Volkanovski,1/5,Yair Rodriguez,7/2
2023-06-10,UFC on ESPN 47,2023-06-17,Modestas Bukauskas,4/7,Zac Pauga,7/5
2023-06-10,UFC on ESPN 47,2023-06-17,Ronnie Lawrence,4/6,Daniel Argueta,6/5
2023-06-10,UFC on ESPN 47,2023-06-17,Tereza Bleda,2/5,Gabriella Fernandes,2/1
2023-06-10,UFC on ESPN 47,2023-06-17,Zhalgas Zhumagulov,4/7,Felipe Bunes,7/5
2023-06-10,UFC on ESPN 47,2023-06-17,Carlos Hernandez,8/11,Denys Bondar,11/10
2023-06-10,UFC on ESPN 47,2023-06-17,Cristian Quinonez,8/15,Kyung Ho Kang,6/4
2023-06-10,UFC on ESPN 47,2023-06-17,Alessandro Costa,4/9,Jimmy Flick,7/4
2023-06-10,UFC on ESPN 47,2023-06-17,Raoni Barcelos,4/9,Miles Johns,7/4
2023-06-10,UFC on ESPN 47,2023-06-17,Muslim Salikhov,1/2,Nicolas Dalby,13/8
2023-06-10,UFC on ESPN 47,2023-06-17,Manuel Torres,8/13,Nikolas Motta,13/10
2023-06-10,UFC on ESPN 47,2023-06-17,Pat Sabatini,8/15,Lucas Almeida,6/4
2023-06-10,UFC on ESPN 47,2023-06-17,Christian Leroy Duncan,8/13,Armen Petrosyan,13/10
2023-06-10,UFC on ESPN 47,2023-06-17,Arman Tsarukyan,1/10,Joaquim Silva,6/1
2023-06-10,UFC on ESPN 47,2023-06-17,Marvin Vettori,4/6,Jared Cannonier,6/5
2023-06-10,UFC on ABC 5,2023-06-24,Ilia Topuria,3/10,Josh Emmett,5/2
2023-06-10,UFC 291,2023-07-29,Stephen Thompson,4/9,Michel Pereira,7/4
2023-06-10,UFC 291,2023-07-29,Ikram Aliskerov,4/5,Paulo Costa,1/1
2023-06-10,UFC 291,2023-07-29,Bobby Green,1/5,Tony Ferguson,7/2
2023-06-10,UFC 291,2023-07-29,Jan Blachowicz,4/6,Alex Pereira,6/5
2023-06-10,UFC 291,2023-07-29,Dustin Poirier,4/5,Justin Gaethje,1/1
2023-06-17,UFC 290,2023-07-08,Bo Nickal,1/9,Tresean Gore,11/2
2023-06-17,UFC 290,2023-07-08,Jalin Turner,8/15,Dan Hooker,6/4
2023-06-17,UFC 290,2023-07-08,Robert Whittaker,2/7,Dricus Du Plessis,13/5
2023-06-17,UFC 290,2023-07-08,Brandon Moreno,8/15,Alexandre Pantoja,6/4
2023-06-17,UFC 290,2023-07-08,Alexander Volkanovski,1/5,Yair Rodriguez,7/2
2023-06-17,UFC on ABC 5,2023-06-24,Tatsuro Taira,1/4,Kleydson Rodrigues,3/1
2023-06-17,UFC on ABC 5,2023-06-24,Jamall Emmers,4/7,Jack Jenkins,7/5
2023-06-17,UFC on ABC 5,2023-06-24,Trevor Peek,4/11,Victor Martinez,21/10
2023-06-17,UFC on ABC 5,2023-06-24,Tabatha Ricci,4/5,Gillian Robertson,1/1
2023-06-17,UFC on ABC 5,2023-06-24,Mateusz Rebecki,3/4,Loik Radzhabov,21/20
2023-06-17,UFC on ABC 5,2023-06-24,Randy Brown,2/5,Wellington Turman,2/1
2023-06-17,UFC on ABC 5,2023-06-24,Justin Tafa,4/7,Austen Lane,7/5
2023-06-17,UFC on ABC 5,2023-06-24,Neil Magny,4/6,Philip Rowe,6/5
2023-06-17,UFC on ABC 5,2023-06-24,Brendan Allen,4/7,Bruno Silva,7/5
2023-06-17,UFC on ABC 5,2023-06-24,Gabriel Santos,4/9,David Onama,7/4
2023-06-17,UFC on ABC 5,2023-06-24,Punahele Soriano,1/2,Sedriques Dumas,13/8
2023-06-17,UFC on ABC 5,2023-06-24,Amanda Ribas,4/7,Maycee Barber,7/5
2023-06-17,UFC on ABC 5,2023-06-24,Ilia Topuria,3/10,Josh Emmett,5/2
2023-06-17,UFC on ESPN 47,2023-06-17,Cristian Quinonez,4/6,Kyung Ho Kang,6/5
2023-06-17,UFC on ESPN 47,2023-06-17,Alessandro Costa,4/11,Jimmy Flick,21/10
2023-06-17,UFC on ESPN 47,2023-06-17,Muslim Salikhov,1/2,Nicolas Dalby,13/8
2023-06-17,UFC on ESPN 47,2023-06-17,Manuel Torres,8/15,Nikolas Motta,6/4
2023-06-17,UFC on ESPN 47,2023-06-17,Pat Sabatini,8/15,Lucas Almeida,6/4
2023-06-17,UFC on ESPN 47,2023-06-17,Christian Leroy Duncan,8/13,Armen Petrosyan,13/10
2023-06-17,UFC on ESPN 47,2023-06-17,Arman Tsarukyan,1/12,Joaquim Silva,13/2
2023-06-17,UFC on ESPN 47,2023-06-17,Marvin Vettori,4/5,Jared Cannonier,1/1
2023-06-17,UFC 291,2023-07-29,Stephen Thompson,4/9,Michel Pereira,7/4
2023-06-17,UFC 291,2023-07-29,Ikram Aliskerov,4/5,Paulo Costa,1/1
2023-06-17,UFC 291,2023-07-29,Bobby Green,1/5,Tony Ferguson,7/2
2023-06-17,UFC 291,2023-07-29,Jan Blachowicz,4/6,Alex Pereira,6/5
2023-06-17,UFC 291,2023-07-29,Dustin Poirier,8/11,Justin Gaethje,11/10
2023-06-18,UFC 290,2023-07-08,Bo Nickal,1/9,Tresean Gore,11/2
2023-06-18,UFC 290,2023-07-08,Jalin Turner,8/15,Dan Hooker,6/4
2023-06-18,UFC 290,2023-07-08,Robert Whittaker,2/7,Dricus Du Plessis,13/5
2023-06-18,UFC 290,2023-07-08,Brandon Moreno,8/15,Alexandre Pantoja,6/4
2023-06-18,UFC 290,2023-07-08,Alexander Volkanovski,1/5,Yair Rodriguez,7/2
2023-06-18,UFC on ABC 5,2023-06-24,Tatsuro Taira,1/4,Kleydson Rodrigues,3/1
2023-06-18,UFC on ABC 5,2023-06-24,Jamall Emmers,4/7,Jack Jenkins,7/5
2023-06-18,UFC on ABC 5,2023-06-24,Trevor Peek,4/11,Victor Martinez,21/10
2023-06-18,UFC on ABC 5,2023-06-24,Tabatha Ricci,4/5,Gillian Robertson,1/1
2023-06-18,UFC on ABC 5,2023-06-24,Mateusz Rebecki,3/4,Loik Radzhabov,21/20
2023-06-18,UFC on ABC 5,2023-06-24,Randy Brown,2/5,Wellington Turman,2/1
2023-06-18,UFC on ABC 5,2023-06-24,Justin Tafa,4/7,Austen Lane,7/5
2023-06-18,UFC on ABC 5,2023-06-24,Neil Magny,4/6,Philip Rowe,6/5
2023-06-18,UFC on ABC 5,2023-06-24,Brendan Allen,4/7,Bruno Silva,7/5
2023-06-18,UFC on ABC 5,2023-06-24,Gabriel Santos,4/9,David Onama,7/4
2023-06-18,UFC on ABC 5,2023-06-24,Punahele Soriano,1/2,Sedriques Dumas,13/8
2023-06-18,UFC on ABC 5,2023-06-24,Amanda Ribas,4/7,Maycee Barber,7/5
2023-06-18,UFC on ABC 5,2023-06-24,Ilia Topuria,3/10,Josh Emmett,5/2
2023-06-18,UFC 291,2023-07-29,Stephen Thompson,4/9,Michel Pereira,7/4
2023-06-18,UFC 291,2023-07-29,Ikram Aliskerov,4/5,Paulo Costa,1/1
2023-06-18,UFC 291,2023-07-29,Bobby Green,1/5,Tony Ferguson,7/2
2023-06-18,UFC 291,2023-07-29,Jan Blachowicz,4/6,Alex Pereira,6/5
2023-06-18,UFC 291,2023-07-29,Dustin Poirier,8/11,Justin Gaethje,11/10
2023-06-22,UFC 290,2023-07-08,Bo Nickal,1/9,Tresean Gore,11/2
2023-06-22,UFC 290,2023-07-08,Jalin Turner,8/15,Dan Hooker,6/4
2023-06-22,UFC 290,2023-07-08,Robert Whittaker,2/7,Dricus Du Plessis,13/5
2023-06-22,UFC 290,2023-07-08,Brandon Moreno,8/15,Alexandre Pantoja,6/4
2023-06-22,UFC 290,2023-07-08,Alexander Volkanovski,1/5,Yair Rodriguez,7/2
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Kensei Yamakawa,1/1,Ryoga Hirano,8/11
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Marina Kumagai,11/10,Aoi Kuriyama,4/6
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Trent Girdham,4/9,Joji Goto,13/8
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Tatsuya Seki,4/11,Raiki Endo,15/8
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Suguru Nii,4/7,Tateo Iida,5/4
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Saori Oshima,1/3,Haruka Hasegawa,2/1
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Yuta Kubo,1/1,Takeaki Kinoshita,8/11
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Minoru Kimura,2/9,Daryl Lokoku,3/1
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Genji Umeno,1/2,Hiroki Suzuki,6/4
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Hiroaki Suzuki,8/11,Taisei Nishitani,1/1
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Hideki Sekine,11/10,Mikio Ueda,4/6
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Yusuke Yachi,1/3,Zach Zane,2/1
2023-06-22,Rizin 43 - Sapporo,2023-06-24,Kleber Koike Erbst,2/7,Chihiro Suzuki,9/4
2023-06-22,PFL 6,2023-06-23,Abdullah Al-Qahtani,2/5,Lamar Brown,7/4
2023-06-22,PFL 6,2023-06-23,Brahyan Zurcher,4/11,Mike Bardsley,2/1
2023-06-22,PFL 6,2023-06-23,Jarrah Hussein Al-Silawi,6/5,Solomon Renfro,8/13
