EventId,event_name,event_date,fighter_1,fighter_2,winner
1144,UFC 289: Nunes vs. Aldana,2023-06-10T23:00Z,Amanda Nunes,Irene Aldana,Amanda Nunes
1144,UFC 289: Nunes vs. Aldana,2023-06-10T23:00Z,Charles Oliveira,Beneil Dariush,Charles Oliveira
1144,UFC 289: Nunes vs. Aldana,2023-06-10T23:00Z,Mike Malott,Adam Fugitt,Mike Malott
1144,UFC 289: Nunes vs. Aldana,2023-06-10T23:00Z,Dan Ige,Nate Landwehr,Dan Ige
1144,UFC 289: Nunes vs. Aldana,2023-06-10T23:00Z,Marc-Andre Barriault,Eryk Anders,Marc-Andre Barriault
1144,UFC 289: Nunes vs. Aldana,2023-06-10T23:00Z,Nassourdine Imavov,Chris Curtis,Draw
1144,UFC 289: Nunes vs. Aldana,2023-06-10T23:00Z,Miranda Maverick,Jasmine Jasudavicius,Jasmine Jasudavicius
1144,UFC 289: Nunes vs. Aldana,2023-06-10T23:00Z,Aiemann Zahabi, Aoriqileng,Aiemann Zahabi
1144,UFC 289: Nunes vs. Aldana,2023-06-10T23:00Z,Kyle Nelson,Blake Bilder,Kyle Nelson
1144,UFC 289: Nunes vs. Aldana,2023-06-10T23:00Z,David Dvorak,Steve Erceg,Steve Erceg
1144,UFC 289: Nunes vs. Aldana,2023-06-10T23:00Z,Diana Belbita,Maria Oliveira,Diana Belbita
1145,UFC Fight Night: Dern vs. Hill,2023-05-20T20:00Z,Mackenzie Dern,Angela Hill,Mackenzie Dern
1145,UFC Fight Night: Dern vs. Hill,2023-05-20T20:00Z,Edmen Shahbazyan,Anthony Hernandez,Anthony Hernandez
1145,UFC Fight Night: Dern vs. Hill,2023-05-20T20:00Z,Emily Ducote,Loopy Godinez,Loopy Godinez
1145,UFC Fight Night: Dern vs. Hill,2023-05-20T20:00Z,Andre Fialho,Joaquin Buckley,Joaquin Buckley
1145,UFC Fight Night: Dern vs. Hill,2023-05-20T20:00Z,Diego Ferreira,Michael Johnson,Diego Ferreira
1145,UFC Fight Night: Dern vs. Hill,2023-05-20T20:00Z, Maheshate,Viacheslav Borshchev,Viacheslav Borshchev
1145,UFC Fight Night: Dern vs. Hill,2023-05-20T20:00Z,Karolina Kowalkiewicz,Vanessa Demopoulos,Karolina Kowalkiewicz
1145,UFC Fight Night: Dern vs. Hill,2023-05-20T20:00Z,Orion Cosce,Gilbert Urbina,Gilbert Urbina
1145,UFC Fight Night: Dern vs. Hill,2023-05-20T20:00Z,Ilir Latifi,Rodrigo Nascimento,Rodrigo Nascimento
1145,UFC Fight Night: Dern vs. Hill,2023-05-20T20:00Z,Chase Hooper,Nick Fiore,Chase Hooper
1145,UFC Fight Night: Dern vs. Hill,2023-05-20T20:00Z,Natalia Silva,Victoria Leonardo,Natalia Silva
1145,UFC Fight Night: Dern vs. Hill,2023-05-20T20:00Z,Takashi Sato,Themba Gorimbo,Themba Gorimbo
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,Kai Kara-France,Amir Albazi,Amir Albazi
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,Alex Caceres,Daniel Pineda,Alex Caceres
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,Jim Miller,Jesse Butler,Jim Miller
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,Tim Elliott,Victor Altamirano,Tim Elliott
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,Karine Silva,Ketlen Souza,Karine Silva
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,Abubakar Nurmagomedov,Elizeu Zaleski dos Santos,Elizeu Zaleski dos Santos
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,Daniel Santos,Johnny Munoz,Daniel Santos
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,Andrei Arlovski,Don'Tale Mayes,Don'Tale Mayes
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,John Castaneda,Muin Gafurov,John Castaneda
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,Jamie Mullarkey,Muhammad Naimov,Muhammad Naimov
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,Elise Reed,Jinh Yu Frey,Elise Reed
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,Da'Mon Blackshear,Luan Lacerda,Da'Mon Blackshear
1146,UFC Fight Night: Kara-France vs. Albazi,2023-06-03T22:00Z,Philipe Lins,Maxim Grishin,Philipe Lins
1147,UFC Fight Night: Vettori vs. Cannonier,2023-06-17T23:00Z,Marvin Vettori,Jared Cannonier,Jared Cannonier
1147,UFC Fight Night: Vettori vs. Cannonier,2023-06-17T23:00Z,Arman Tsarukyan,Joaquim Silva,Arman Tsarukyan
1147,UFC Fight Night: Vettori vs. Cannonier,2023-06-17T23:00Z,Armen Petrosyan,Christian Leroy Duncan,Armen Petrosyan
1147,UFC Fight Night: Vettori vs. Cannonier,2023-06-17T23:00Z,Pat Sabatini,Lucas Almeida,Pat Sabatini
1147,UFC Fight Night: Vettori vs. Cannonier,2023-06-17T23:00Z,Manuel Torres,Nikolas Motta,Manuel Torres
1147,UFC Fight Night: Vettori vs. Cannonier,2023-06-17T23:00Z,Nicolas Dalby,Muslim Salikhov,Nicolas Dalby
1147,UFC Fight Night: Vettori vs. Cannonier,2023-06-17T23:00Z,Jimmy Flick,Alessandro Costa,Alessandro Costa
1147,UFC Fight Night: Vettori vs. Cannonier,2023-06-17T23:00Z,Kyung Ho Kang,Cristian Quinonez,Kyung Ho Kang
1147,UFC Fight Night: Vettori vs. Cannonier,2023-06-17T23:00Z,Carlos Hernandez,Denys Bondar,Carlos Hernandez
1147,UFC Fight Night: Vettori vs. Cannonier,2023-06-17T23:00Z,Tereza Bleda,Gabriella Fernandes,Tereza Bleda
1147,UFC Fight Night: Vettori vs. Cannonier,2023-06-17T23:00Z,Dan Argueta,Ronnie Lawrence,Draw
1147,UFC Fight Night: Vettori vs. Cannonier,2023-06-17T23:00Z,Zac Pauga,Modestas Bukauskas,Modestas Bukauskas
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,Josh Emmett,Ilia Topuria,Ilia Topuria
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,Amanda Ribas,Maycee Barber,Maycee Barber
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,Austen Lane,Justin Tafa,Draw
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,David Onama,Gabriel Santos,David Onama
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,Brendan Allen,Bruno Silva,Brendan Allen
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,Neil Magny,Phil Rowe,Neil Magny
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,Randy Brown,Wellington Turman,Randy Brown
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,Mateusz Rebecki,Loik Radzhabov,Mateusz Rebecki
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,Tabatha Ricci,Gillian Robertson,Tabatha Ricci
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,Zhalgas Zhumagulov,Joshua Van,Joshua Van
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,Trevor Peek,Chepe Mariscal,Chepe Mariscal
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,Jamall Emmers,Jack Jenkins,Jack Jenkins
1148,UFC Fight Night: Emmett vs. Topuria,2023-06-24T15:30Z,Cody Brundage,Sedriques Dumas,Sedriques Dumas
1149,UFC Fight Night: Strickland vs. Magomedov,2023-07-01T20:00Z,Sean Strickland,Abus Magomedov,Sean Strickland
1149,UFC Fight Night: Strickland vs. Magomedov,2023-07-01T20:00Z,Damir Ismagulov,Grant Dawson,Grant Dawson
