fighter_1,fighter_2,winner
Islam Makhachev,Dustin Poirier,Islam Makhachev
Sean Strickland,Paulo Costa,Sean Strickland
Kevin Holland,Michal Oleksiejczuk,Kevin Holland
Niko Price,Alex Morono,Niko Price
Randy Brown,Elizeu Zaleski dos Santos,Randy Brown
Cesar Almeida,Roman Kopylov,Roman Kopylov
Jailton Almeida,Alexandr Romanov,Jailton Almeida
Grant Dawson,Joe Solecki,Grant Dawson
Phil Rowe,Jake Matthews,Jake Matthews
Mickey Gall,Bassil Hafez,Bassil Hafez
Ailin Perez,Joselyne Edwards,Ailin Perez
Mitch Raposo,Andre Lima,Andre Lima
